Exporter ISO3,Exporter,Importer ISO3,Importer,Year,Value (1000USD),Weight (1000kg),city_export,lat_export,lng_export,iso3_export,capital_export,city_import,lat_import,lng_import,iso3_import,capital_import
ALB,Albania,AUT,Austria,2021,3.921967,0.346,Tirana,41.3272 ,19.8186 ,ALB,primary,Vienna,48.2083 ,16.3725 ,AUT,primary
ALB,Albania,CAN,Canada,2021,7.680977,1.078,Tirana,41.3272 ,19.8186 ,ALB,primary,Ottawa,45.4247 ,-75.6950 ,CAN,primary
ALB,Albania,CZE,Czech Republic,2021,6.945,0.777,Tirana,41.3272 ,19.8186 ,ALB,primary,Prague,50.0875 ,14.4214 ,CZE,primary
ALB,Albania,DEU,Germany,2021,24.644377,3.225,Tirana,41.3272 ,19.8186 ,ALB,primary,Berlin,52.5200 ,13.4050 ,DEU,primary
ALB,Albania,GRC,Greece,2021,2.294516,0.335,Tirana,41.3272 ,19.8186 ,ALB,primary,Athens,37.9842 ,23.7281 ,GRC,primary
ALB,Albania,HUN,Hungary,2021,2.628,0.32,Tirana,41.3272 ,19.8186 ,ALB,primary,Budapest,47.4983 ,19.0408 ,HUN,primary
ALB,Albania,ITA,Italy,2021,61.321537,11.496,Tirana,41.3272 ,19.8186 ,ALB,primary,Rome,41.8931 ,12.4828 ,ITA,primary
ALB,Albania,NOR,Norway,2021,4.500349,0.309,Tirana,41.3272 ,19.8186 ,ALB,primary,Oslo,59.9133 ,10.7389 ,NOR,primary
ALB,Albania,SRB,Serbia,2021,880.5755,116.935,Tirana,41.3272 ,19.8186 ,ALB,primary,Belgrade,44.8178 ,20.4569 ,SRB,primary
ALB,Albania,SVN,Slovenia,2021,17.710434,2.012,Tirana,41.3272 ,19.8186 ,ALB,primary,Ljubljana,46.0514 ,14.5061 ,SVN,primary
ALB,Albania,MKD,North Macedonia,2021,371.8384,38.481716,Tirana,41.3272 ,19.8186 ,ALB,primary,Skopje,41.9961 ,21.4317 ,MKD,primary
ALB,Albania,GBR,United Kingdom,2021,3.420602,0.4,Tirana,41.3272 ,19.8186 ,ALB,primary,London,51.5072 ,-0.1275 ,GBR,primary
ALB,Albania,USA,United States,2021,107.22,21.298,Tirana,41.3272 ,19.8186 ,ALB,primary,Washington,38.9047 ,-77.0163 ,USA,primary
ALB,Albania,AUT,Austria,2022,16.471786,2.05,Tirana,41.3272 ,19.8186 ,ALB,primary,Vienna,48.2083 ,16.3725 ,AUT,primary
ALB,Albania,BEL,Belgium,2022,0.009572,0.00102,Tirana,41.3272 ,19.8186 ,ALB,primary,Brussels,50.8467 ,4.3525 ,BEL,primary
ALB,Albania,CAN,Canada,2022,5.149995,0.6,Tirana,41.3272 ,19.8186 ,ALB,primary,Ottawa,45.4247 ,-75.6950 ,CAN,primary
