Exporter ISO3,Exporter,Importer ISO3,Importer,Year,Value (1000USD),Weight (1000kg),city_export,lat_export,lng_export,iso3_export,capital_export,city_import,lat_import,lng_import,iso3_import,capital_import
ARG,Argentina,CAN,Canada,2020,1.55687,0.17,Buenos Aires,-34.6036,-58.3814,ARG,primary,Ottawa,45.4247,-75.695,CAN,primary
ARG,Argentina,SLV,El Salvador,2020,0.08182,0.0013,Buenos Aires,-34.6036,-58.3814,ARG,primary,San Salvador,13.6989,-89.1914,SLV,primary
ARG,Argentina,GBR,United Kingdom,2020,200.7553,60,Buenos Aires,-34.6036,-58.3814,ARG,primary,London,51.5072,-0.1275,GBR,primary
ARG,Argentina,AUS,Australia,2021,79.25919,18.975,Buenos Aires,-34.6036,-58.3814,ARG,primary,Canberra,-35.2931,149.1269,AUS,primary
ARG,Argentina,BEL,Belgium,2021,0.025547,0.0009,Buenos Aires,-34.6036,-58.3814,ARG,primary,Brussels,50.8467,4.3525,BEL,primary
ARG,Argentina,BMU,Bermuda,2021,0.02997,0.001,Buenos Aires,-34.6036,-58.3814,ARG,primary,Hamilton,32.2942,-64.7819,BMU,primary
ARG,Argentina,CAN,Canada,2021,0.020736,0.006,Buenos Aires,-34.6036,-58.3814,ARG,primary,Ottawa,45.4247,-75.695,CAN,primary
ARG,Argentina,FRA,France,2021,0.113543,0.007,Buenos Aires,-34.6036,-58.3814,ARG,primary,Paris,48.8567,2.3522,FRA,primary
ARG,Argentina,KOR,"Korea, Republic",2021,0.06,0.0056,Buenos Aires,-34.6036,-58.3814,ARG,primary,Seoul,37.5667,126.9833,KOR,primary
ARG,Argentina,CHE,Switzerland,2021,3.456431,0.276,Buenos Aires,-34.6036,-58.3814,ARG,primary,Bern,46.948,7.4474,CHE,primary
ARG,Argentina,USA,United States,2021,29.5,20,Buenos Aires,-34.6036,-58.3814,ARG,primary,Washington,38.9047,-77.0163,USA,primary
ARG,Argentina,BEL,Belgium,2022,0.000969,0.0001,Buenos Aires,-34.6036,-58.3814,ARG,primary,Brussels,50.8467,4.3525,BEL,primary
ARG,Argentina,CAN,Canada,2022,0.210517,0.104,Buenos Aires,-34.6036,-58.3814,ARG,primary,Ottawa,45.4247,-75.695,CAN,primary
ARG,Argentina,CHL,Chile,2022,4.10144,0.587705,Buenos Aires,-34.6036,-58.3814,ARG,primary,Santiago,-33.4372,-70.6506,CHL,primary
ARG,Argentina,FRA,France,2022,0.051599,0.004,Buenos Aires,-34.6036,-58.3814,ARG,primary,Paris,48.8567,2.3522,FRA,primary
ARG,Argentina,ISL,Iceland,2022,0.059159,0.001,Buenos Aires,-34.6036,-58.3814,ARG,primary,Reykjav铆k,64.1458,-21.9425,ISL,primary
ARG,Argentina,MLT,Malta,2022,0.004212,0.001,Buenos Aires,-34.6036,-58.3814,ARG,primary,Valletta,35.8983,14.5125,MLT,primary
ARG,Argentina,CHE,Switzerland,2022,0.065973,0.006,Buenos Aires,-34.6036,-58.3814,ARG,primary,Bern,46.948,7.4474,CHE,primary
ARG,Argentina,GBR,United Kingdom,2022,40.262455,24,Buenos Aires,-34.6036,-58.3814,ARG,primary,London,51.5072,-0.1275,GBR,primary
ARG,Argentina,USA,United States,2022,3.851,0.288,Buenos Aires,-34.6036,-58.3814,ARG,primary,Washington,38.9047,-77.0163,USA,primary
AUS,Australia,BHR,Bahrain,2018,4.6214256,0.33000004,Canberra,-35.2931,149.1269,AUS,primary,Manama,26.2233,50.5875,BHR,primary
AUS,Australia,SLB,Solomon Islands,2018,5.059008,1.5284393,Canberra,-35.2931,149.1269,AUS,primary,Honiara,-9.4333,159.95,SLB,primary
AUS,Australia,MMR,Myanmar,2018,3.84,0.2,Canberra,-35.2931,149.1269,AUS,primary,Rangoon,16.795,96.16,MMR,primary
AUS,Australia,MMR,Myanmar,2018,3.84,0.2,Canberra,-35.2931,149.1269,AUS,primary,Nay Pyi Taw,19.7475,96.115,MMR,primary
AUS,Australia,CAN,Canada,2018,4.8715005,0.34751016,Canberra,-35.2931,149.1269,AUS,primary,Ottawa,45.4247,-75.695,CAN,primary
AUS,Australia,CHN,China,2018,298.68472,40.44021,Canberra,-35.2931,149.1269,AUS,primary,Beijing,39.9067,116.3975,CHN,primary
AUS,Australia,COK,Cook Islands,2018,0.610425,0.02,Canberra,-35.2931,149.1269,AUS,primary,Avarua,-21.207,-159.771,COK,primary
AUS,Australia,CRI,Costa Rica,2018,0.10344,0.004,Canberra,-35.2931,149.1269,AUS,primary,San Jos茅,9.9325,-84.08,CRI,primary
AUS,Australia,CZE,Czech Republic,2018,2.677,0.06,Canberra,-35.2931,149.1269,AUS,primary,Prague,50.0875,14.4214,CZE,primary
AUS,Australia,FJI,Fiji,2018,67.88559,8.260109,Canberra,-35.2931,149.1269,AUS,primary,Suva,-18.1333,178.4333,FJI,primary
AUS,Australia,FRA,France,2018,27.608088,8.634312,Canberra,-35.2931,149.1269,AUS,primary,Paris,48.8567,2.3522,FRA,primary
AUS,Australia,DEU,Germany,2018,62.852913,2.8967016,Canberra,-35.2931,149.1269,AUS,primary,Berlin,52.52,13.405,DEU,primary
AUS,Australia,KIR,Kiribati,2018,0.381796,0.0146,Canberra,-35.2931,149.1269,AUS,primary,Tarawa,1.3382,173.0176,KIR,primary
AUS,Australia,HKG,"China, Hong Kong SAR",2018,254.31477,41.602367,Canberra,-35.2931,149.1269,AUS,primary,Hong Kong,22.3,114.2,HKG,primary
AUS,Australia,IRL,Ireland,2018,0.213753,0.015,Canberra,-35.2931,149.1269,AUS,primary,Dublin,53.3497,-6.2603,IRL,primary
AUS,Australia,JPN,Japan,2018,208.02518,15.226554,Canberra,-35.2931,149.1269,AUS,primary,Tokyo,35.687,139.7495,JPN,primary
AUS,Australia,KEN,Kenya,2018,0.717488,0.42,Canberra,-35.2931,149.1269,AUS,primary,Nairobi,-1.2864,36.8172,KEN,primary
AUS,Australia,KOR,"Korea, Republic",2018,21.560093,0.4078131,Canberra,-35.2931,149.1269,AUS,primary,Seoul,37.5667,126.9833,KOR,primary
AUS,Australia,KWT,Kuwait,2018,7.824944,1.258,Canberra,-35.2931,149.1269,AUS,primary,Kuwait City,29.3697,47.9783,KWT,primary
AUS,Australia,LBN,Lebanon,2018,6.064649,0.962,Canberra,-35.2931,149.1269,AUS,primary,Beirut,33.8981,35.5058,LBN,primary
AUS,Australia,LUX,Luxembourg,2018,1.2755,0.059,Canberra,-35.2931,149.1269,AUS,primary,Luxembourg,49.6117,6.1319,LUX,primary
